Rogue Valley Ajax Pickering	Ajax
Stevenson Memorial Hospital	Alliston
Atikokan General Hospital	Atikokan
North Hastings District Hospital	Bancroft
Royal Victoria Hospital	Barrie
St. Francis Memorial Hospital	Barrys Bay
QHC Belleville General	Belleville
Lakeridge Health Bowmanville	Bowmanville
South Muskoka Memorial Hospital	Bracebridge
Brampton Civic Hospital	Brampton
Brampton Memorial Hospital Campus	Brampton
Brockville General Hospital	Brockville
Brantford General Hospital	Brantford
Joseph Brant Memorial Hospital	Burlington
Cambridge Memorial Hospital	Cambridge
Campbellford Memorial Hospital	Campbellford
Carlton Place & District Memorial Hospital	Carleton Place
Public General Hospital	Chatham
Northumberland Hills Hospital	Cobourg
Collingwood General and Marine Hospital	Collingwood
Community Hospital McConnell Site	Cornwall
Dryden Regional Health Center	Dryden
Haldimar War Memorial Hospital	Dunnville
Durham Memorial Hospital	Durham
Englehart and District Hospital	Englehart
Espanola General Hospital	Espanola
Groves Memorial Community Hospital	Fergus
Niagara Health System Douglas Memorial Hospital	Fort Erie
Georgetown Hospital	Georgetown
Geraldton District Hospital	Geraldton
Alexander Marine Hospital	Goderich
Guelph General Hospital	Guelph
Homewood Health Centre	Guelph
St. Josephs Health Centre	Guelph
Hagersville West Haldimand General Hospital	Hagersville
Haliburton Hospital	Haliburton
Hamilton Health Services Chedoke Hospital	Hamilton
Hamilton Health Services Hamilton General Hospital	Hamilton
Hamilton Health Services Henderson General Hospital	Hamilton
Hamilton Health Services Juravinski Cancer Centre	Hamilton
Hamilton Health Services McMaster Childrens Hospital	Hamilton
Hamilton Health Services McMaster University Medical Centre	Hamilton
St. Josephs Hospital King Site	Hamilton
St. Josephs Hospital Charlton Campus	Hamilton
St. Josephs Hospital West 5th	Hamilton
St. Peters Hospital	Hamilton
Hanover District Hospital	Hanover
Huntsville Memorial District Hospital	Huntsville
Alexandra Hospital	Ingersoll
Sensenbrenner Hospital	Kapuskasing
Ross Memorial Hospital	Kawartha Lakes
Lake of the Woods District Hospital	Kenora
Kincardine South Bruce Grey Health Centre	Kincardine
Kingston General Hospital	Kingston
Hotel Dieu	Kingston
Providence Continuing Care Centre (PCCC)	Kingston
Kirkland and District Hospital	Kirkland
St. Marys General Hospital	Kitchener
Grand River Hospital	Kitchener
Freeport Hospital	Kitchener
Manitoulin Health Centre	Manitoulin
London Health Sciences Centre Childrens Hospital of Western Ontario	London
London Health Sciences Centre South Street Hospital	London
London Health Sciences Centre University Hospital	London
London Health Sciences Centre Victoria Hospital	London
St. Josephs Health Care, London Parkwood Hospital	London
St. Josephs Health Care, London St. Josephs Hospital	London
Manitouwadge General Hospital	Manitouwadge
Wilson Memorial Hospital	Marathon
Centre Grey General Hospital	Markdale
Meaford General Hospital	Meaford
Georgian Bay General Hospital	Midland
Milton District Hospital	Milton
Mindemoya Hospital	Mindemoya
Credit Valley Hospital	Mississauga
Trillium Health Centre	Mississauga
Moose Factory Hospital	Moose Factory
Louise Marshall Hospital	Mount Forest
Lennox & Addington County General Hospital	Napanee
Niagara Health System Greater Niagara General Site	Niagara Falls
Niagara Health System Niagara-on-the-Lake Hospital Site	Niagara-on-the-Lake
Nipigon District Memorial Hospital	Nipigon
North Bay General Hospital Scollard Site	North Bay
North Bay General Hospital McLaren Site	North Bay
Northeast Mental Health Centre North Bay Campus	North Bay
Oakville-Trafalgar Memorial Hospital	Oakville
Headwaters Health Care Centre	Orangeville
Soldiers Memorial Hospital	Orilla
Lakeridge Health Oshawa	Oshawa
Childrens Hospital of Eastern Ontario	Ottawa
Montfort Hospital	Ottawa
National Defence Medical Centre	Ottawa
The Ottawa Hospital Civic Hospital	Ottawa
The Ottawa Hospital General Hospital	Ottawa
The Ottawa Hospital Riverside Hospital	Ottawa
Queensway-Carleton Hospital	Ottawa
University of Ottawa Heart Institute	Ottawa
Royal Ottawa Mental Health Centre	Ottawa
Grey Bruce Health Services	Owen Sound
Palmerston & District Hospital	Palmerston
West Parry Sound Health Centre	Parry Sound
Pembroke Regional Hospital	Pembroke
Georgian Bay General Hospital	Penetanguishene
Great War Memorial Hospital	Perth
Peterborough Regional Health Centre	Peterborough
Charlotte Eleanor Englehart Hospital of Bluewater Health	Petrolia
Niagara Health System Port Colborne General Site	Port Colborne
Lakeridge Health Port Perry	Port Perry
Margaret Cochenour Memorial Hospital	Red Lake
Kitchener-Waterloo Hospital	Regional Municipality of Waterloo
Renfrew Victoria Hospital	Renfrew
Bluewater Health	Sarnia
Sault Area Hospital	Sault Ste. Marie
Norfolk General Hospital	Simcoe
Smith Falls Community Hospital	Smiths Falls
Hotel Dieu Shaver Health and Rehabilitation Centre	St. Catharines
Niagara Health System Ontario Street Site	St. Catharines
Niagara Health System St. Catharines General Site	St. Catharines
Matthews Memorial Hospital	St. Joseph
West Nipissing General Hospital	Sturgeon Falls
St. Thomas Elgin General Hospital	St. Thomas
Health Sciences North	Sudbury
Temiskaming Hospital	Temiskaming Shores
Thunder Bay Regional Health Sciences Centre	Thunder Bay
Timmins & District Hospital	Timmins
Baycrest Centre for Geriatric Care	Toronto
Clarke Institute of Psychiatry	Toronto
Etobicoke General Hospital	Toronto
Hospital for Sick Children	Toronto
Humber River Regional Hospital	Toronto
Mount Sinai Hospital	Toronto
North York General Hospital	Toronto
North York General Hospital Branson	Toronto
Queensway General Hospital	Toronto
Rouge Valley Centenary	Toronto
Scarborough Hospital	Toronto
Scarborough Hospital – Grace	Toronto
St. Johns Rehab Hospital	Toronto
St. Josephs Health Centre	Toronto
St. Michaels Hospital	Toronto
Sunnybrook Health Sciences Centre	Toronto
Toronto East General Hospital	Toronto
Toronto Grace Health Centre	Toronto
Toronto Rehabilitation Institute	Toronto
University Health Network Princess Margaret Cancer Centre	Toronto
University Health Network Toronto General Hospital	Toronto
University Health Network Toronto Western Hospital	Toronto
Womens College Hospital	Toronto
Ontario Ministry of Health	Upsala
Uxbridge Cottage Hospital	Uxbridge
County of Bruce General Hospital	Walkerton
Sydenham District Hospital	Wallaceburg
Niagara Health System Welland County General Site	Welland
Lakeridge Healthy Whitby	Whitby
Windsor Regional Hospital	Windsor
Hotel Dieu Grace Hospital	Windsor
Wingham and District Hospital	Wingham
Woodstock General Hospital	Woodstock
Markham Stouffville Hospital	York Region
Mackenzie Richmond Hill Hospital	York Region
Shouldice Hernia Centre	York Region
Southlake Regional Health Centre	York Region
